,key,values,quest_id
102,item6,Management,90642614-ce95-11eb-8db0-7c67a234f601
103,item4,Electrical Engineering,90643c59-ce95-11eb-aec2-7c67a234f601
104,item1,Computer Science,90643c59-ce95-11eb-aec2-7c67a234f601
105,item1,Computer Science,90643c5a-ce95-11eb-b510-7c67a234f601
106,other,other,90646353-ce95-11eb-9f27-7c67a234f601
107,item3,Economics,90646354-ce95-11eb-a5c9-7c67a234f601
108,other,other,90646355-ce95-11eb-ae9f-7c67a234f601
109,item3,Economics,9064923a-ce95-11eb-a2ad-7c67a234f601
110,item1,Computer Science,9064923b-ce95-11eb-a771-7c67a234f601
111,item1,Computer Science,9064b6be-ce95-11eb-b2ac-7c67a234f601
112,other,other,9064b6be-ce95-11eb-b2ac-7c67a234f601
113,item6,Management,9064b6be-ce95-11eb-b2ac-7c67a234f601
114,other,other,9064c427-ce95-11eb-9d48-7c67a234f601
115,item1,Computer Science,9064c428-ce95-11eb-a021-7c67a234f601
116,item1,Computer Science,9064d839-ce95-11eb-8172-7c67a234f601
117,item1,Computer Science,9064d83a-ce95-11eb-9bef-7c67a234f601
118,item1,Computer Science,9064d83b-ce95-11eb-a034-7c67a234f601
119,item5,Accounting,9064d83c-ce95-11eb-bc96-7c67a234f601
120,item6,Management,9064d83c-ce95-11eb-bc96-7c67a234f601
121,item5,Accounting,9064ff26-ce95-11eb-8428-7c67a234f601
122,other,other,9064ff27-ce95-11eb-aaa6-7c67a234f601
123,item1,Computer Science,9064ff28-ce95-11eb-857f-7c67a234f601
124,item1,Computer Science,9064ff29-ce95-11eb-a3d3-7c67a234f601
125,other,other,9064ff2a-ce95-11eb-8430-7c67a234f601
126,item1,Computer Science,90652a93-ce95-11eb-a8af-7c67a234f601
127,other,other,90652a94-ce95-11eb-892d-7c67a234f601
128,other,other,90652a95-ce95-11eb-8845-7c67a234f601
129,item2,Statistics,90652a96-ce95-11eb-97b2-7c67a234f601
130,item6,Management,906555be-ce95-11eb-9d03-7c67a234f601
131,item1,Computer Science,906555bf-ce95-11eb-92ac-7c67a234f601
132,item6,Management,906555c0-ce95-11eb-a091-7c67a234f601
133,item1,Computer Science,906555c1-ce95-11eb-95e0-7c67a234f601
134,item2,Statistics,9065740c-ce95-11eb-968f-7c67a234f601
135,other,other,90658229-ce95-11eb-ab19-7c67a234f601
136,other,other,9065822a-ce95-11eb-9df5-7c67a234f601
137,item1,Computer Science,9065822b-ce95-11eb-a3e6-7c67a234f601
138,item6,Management,90659aff-ce95-11eb-bcbe-7c67a234f601
139,item2,Statistics,90659b00-ce95-11eb-9e8f-7c67a234f601
140,item3,Economics,90659b00-ce95-11eb-9e8f-7c67a234f601
141,item1,Computer Science,90659b01-ce95-11eb-b7ea-7c67a234f601
142,item8,Medicine,90659b02-ce95-11eb-a379-7c67a234f601
143,item6,Management,9065e939-ce95-11eb-9702-7c67a234f601
144,item6,Management,9065e93a-ce95-11eb-887d-7c67a234f601
145,item1,Computer Science,90660fe1-ce95-11eb-a30e-7c67a234f601
146,other,other,90660fe2-ce95-11eb-a2b5-7c67a234f601
147,item1,Computer Science,90660fe3-ce95-11eb-8747-7c67a234f601
148,other,other,906636ce-ce95-11eb-ba43-7c67a234f601
149,item6,Management,906636cf-ce95-11eb-8679-7c67a234f601
150,item1,Computer Science,906636d0-ce95-11eb-9875-7c67a234f601
151,other,other,906636d1-ce95-11eb-8379-7c67a234f601
152,item2,Statistics,90665dbc-ce95-11eb-8162-7c67a234f601
153,item3,Economics,90665dbd-ce95-11eb-bcc1-7c67a234f601
154,item1,Computer Science,90665dbd-ce95-11eb-bcc1-7c67a234f601
155,item2,Statistics,90665dbe-ce95-11eb-b66a-7c67a234f601
156,item1,Computer Science,90665dbf-ce95-11eb-a9b5-7c67a234f601
157,item1,Computer Science,90665dc0-ce95-11eb-926f-7c67a234f601
158,item6,Management,90665dc0-ce95-11eb-926f-7c67a234f601
159,item1,Computer Science,90668798-ce95-11eb-86fc-7c67a234f601
160,other,other,90668799-ce95-11eb-b4ec-7c67a234f601
161,item2,Statistics,9066879a-ce95-11eb-bafa-7c67a234f601
162,item6,Management,9066879b-ce95-11eb-9d4a-7c67a234f601
163,item3,Economics,9066879b-ce95-11eb-9d4a-7c67a234f601
164,item2,Statistics,9066abb5-ce95-11eb-aa16-7c67a234f601
165,item3,Economics,9066abb5-ce95-11eb-aa16-7c67a234f601
166,item2,Statistics,9066abb6-ce95-11eb-b526-7c67a234f601
167,item3,Economics,9066abb7-ce95-11eb-846d-7c67a234f601
168,item3,Economics,9066abb8-ce95-11eb-b61d-7c67a234f601
169,item2,Statistics,9066abb8-ce95-11eb-b61d-7c67a234f601
170,item2,Statistics,9066abb9-ce95-11eb-af6a-7c67a234f601
171,item3,Economics,9066abb9-ce95-11eb-af6a-7c67a234f601
172,other,other,9066d2aa-ce95-11eb-b221-7c67a234f601
173,item3,Economics,9066d2ab-ce95-11eb-be67-7c67a234f601
174,item1,Computer Science,9066d2ac-ce95-11eb-8752-7c67a234f601
175,item1,Computer Science,9066d2ad-ce95-11eb-82c7-7c67a234f601
176,item6,Management,9066faad-ce95-11eb-a4b7-7c67a234f601
177,item7,Law,9066faad-ce95-11eb-a4b7-7c67a234f601
178,item3,Economics,9066faae-ce95-11eb-9b99-7c67a234f601
179,item2,Statistics,9066faae-ce95-11eb-9b99-7c67a234f601
180,item1,Computer Science,9066faaf-ce95-11eb-beb4-7c67a234f601
181,item3,Economics,9066fab0-ce95-11eb-ba75-7c67a234f601
182,item6,Management,9066fab0-ce95-11eb-ba75-7c67a234f601
183,other,other,9066fab1-ce95-11eb-a4e2-7c67a234f601
184,other,other,90672094-ce95-11eb-9bfe-7c67a234f601
185,item1,Computer Science,90672095-ce95-11eb-a84d-7c67a234f601
186,item1,Computer Science,90672096-ce95-11eb-9663-7c67a234f601
187,item3,Economics,90672097-ce95-11eb-b73b-7c67a234f601
188,other,other,90674789-ce95-11eb-ac21-7c67a234f601
189,item1,Computer Science,9067478a-ce95-11eb-bc48-7c67a234f601
190,item1,Computer Science,9067478b-ce95-11eb-aba9-7c67a234f601
191,other,other,9067478c-ce95-11eb-94f6-7c67a234f601
192,item1,Computer Science,90676757-ce95-11eb-85fc-7c67a234f601
193,item3,Economics,90677020-ce95-11eb-a2f6-7c67a234f601
194,item1,Computer Science,90677021-ce95-11eb-a3f5-7c67a234f601
195,other,other,90677022-ce95-11eb-911c-7c67a234f601
196,other,other,90677023-ce95-11eb-8bd4-7c67a234f601
197,item1,Computer Science,9067957a-ce95-11eb-aff1-7c67a234f601
198,other,other,9067957b-ce95-11eb-a3f9-7c67a234f601
199,item5,Accounting,9067957c-ce95-11eb-9346-7c67a234f601
200,other,other,9067957d-ce95-11eb-82b5-7c67a234f601
201,item1,Computer Science,9067bc86-ce95-11eb-b97f-7c67a234f601
202,item1,Computer Science,9067bc87-ce95-11eb-977f-7c67a234f601
203,other,other,9067ce03-ce95-11eb-8fa0-7c67a234f601
204,item1,Computer Science,9067e4bf-ce95-11eb-afb1-7c67a234f601
205,item1,Computer Science,9067e4c0-ce95-11eb-bebe-7c67a234f601
206,item1,Computer Science,9067e4c1-ce95-11eb-b85a-7c67a234f601
207,item1,Computer Science,90680a69-ce95-11eb-ac13-7c67a234f601
208,item2,Statistics,90680a6a-ce95-11eb-bf44-7c67a234f601
209,item1,Computer Science,90680a6b-ce95-11eb-ad05-7c67a234f601
