,created_at,expiry_date,user_id,course_name,course_id,percentage_completed,completed_at,expired,is_free_trial,completed,started_at,activated_at,updated_at,quest_id
27,2021-02-16T21:29:47.980Z,2071-02-10T17:33:45.000Z,39861802,Entwodiksyon Nan Syans Done,1047613,0.906976744,,FALSE,FALSE,FALSE,2021-02-16T21:29:48.545Z,2021-02-22T17:29:44.000Z,2021-03-09T14:03:04.673Z,9062b755-ce95-11eb-85a2-7c67a234f601
28,2021-02-17T03:19:47.548Z,,39878444,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-02-17T03:19:48.069Z,,2021-02-17T03:22:32.487Z,90691afe-ce95-11eb-bc64-7c67a234f601
29,2021-02-17T07:06:55.943Z,,39887288,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-02-17T07:06:56.362Z,,2021-03-03T21:50:18.062Z,9067957c-ce95-11eb-9346-7c67a234f601
30,2021-02-17T08:16:36.072Z,,39889898,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-17T08:16:36.721Z,,2021-03-03T21:50:18.114Z,9067957d-ce95-11eb-82b5-7c67a234f601
31,2021-02-17T09:11:52.453Z,,39891948,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-17T09:11:52.936Z,,2021-03-03T21:50:18.182Z,90632b9f-ce95-11eb-bb7f-7c67a234f601
32,2021-02-17T10:58:44.017Z,,39896120,Entwodiksyon Nan Syans Done,1047613,0.238095238,,FALSE,FALSE,FALSE,2021-02-17T10:58:44.369Z,2021-02-17T11:08:54.459Z,2021-03-03T21:50:18.253Z,9062b754-ce95-11eb-b31e-7c67a234f601
33,2021-02-17T11:57:37.102Z,,39898649,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-02-17T11:57:37.456Z,,2021-02-17T11:57:45.410Z,90632ba0-ce95-11eb-b7c2-7c67a234f601
34,2021-02-17T12:25:08.308Z,,39899485,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-17T12:25:08.579Z,,2021-03-03T21:50:18.343Z,905f36ca-ce95-11eb-9411-7c67a234f601
35,2021-02-17T13:13:12.166Z,,39901794,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-17T13:13:12.702Z,,2021-03-03T21:50:18.387Z,9063a260-ce95-11eb-87e8-7c67a234f601
36,2021-02-17T13:48:42.854Z,,39903501,Entwodiksyon Nan Syans Done,1047613,0.047619048,,FALSE,FALSE,FALSE,2021-02-17T13:49:12.048Z,2021-02-17T13:48:42.838Z,2021-03-03T21:50:18.422Z,
